condition,family,reference_condition,description,sequential_decisions_enabled,early_decision_fraction,signal_visibility_weight,weak_targeting_enabled,weak_targeting_strength,weak_targeting_max_multiplier,weak_targeting_tiers,weak_targeting_weak_tiers,weak_agent_targeting_enabled,weak_agent_targeting_min_exposure,manipulation_enabled,manipulation_mode,manipulation_signal_strength,manipulation_decoy_top_k,manipulation_tiers
POSTHOC_BASELINE,baseline,POSTHOC_BASELINE,Primary fixed-tier baseline under the post hoc runner.,true,0.3,0.15,true,0.0,1.5,premium,none|basic,false,0.0,false,amplify,2,5,premium
SEQUENTIAL_SIGNAL_BASELINE,sequential_control,POSTHOC_BASELINE,"Sequential early/late decision protocol with ordinary public signals, but no post hoc amplification or decoy signal.",true,0.3,0.15,true,0.0,1.5,premium,none|basic,false,0.0,false,amplify,2,5,premium
WEAK_TARGETING_LOW,weak_targeting,POSTHOC_BASELINE,Frontier ranking gets a low bonus for opportunities with active no-AI/basic capital.,true,0.3,0.15,true,0.75,1.5,premium,none|basic,false,0.0,false,amplify,2,5,premium
WEAK_TARGETING_HIGH,weak_targeting,POSTHOC_BASELINE,Frontier ranking gets a stronger bonus for opportunities with active no-AI/basic capital.,true,0.3,0.15,true,1.5,2.25,premium,none|basic,false,0.0,false,amplify,2,5,premium
STRONG_TARGETING_PLACEBO,placebo,POSTHOC_BASELINE,Frontier ranking bonus targets advanced/frontier-occupied opportunities instead of weak-occupied ones.,true,0.3,0.15,true,1.5,2.25,premium,advanced|premium,false,0.0,false,amplify,2,5,premium
WEAK_AGENT_TARGETING_ENDOGENOUS,weak_agent_targeting,POSTHOC_BASELINE,Frontier agents restrict investment search to opportunities currently occupied by no-AI/basic capital.,true,0.3,0.15,true,0.0,1.5,premium,none|basic,true,0.0,false,amplify,2,5,premium
MANIPULATION_AMPLIFY,manipulation,SEQUENTIAL_SIGNAL_BASELINE,Frontier early investors amplify the public signal attached to their actual investment.,true,0.3,0.15,true,0.0,1.5,premium,none|basic,false,0.0,true,amplify,2,5,premium
MANIPULATION_DECOY,manipulation,SEQUENTIAL_SIGNAL_BASELINE,Frontier early investors add public signal to a visible decoy opportunity.,true,0.3,0.15,true,0.0,1.5,premium,none|basic,false,0.0,true,decoy,2,5,premium
WEAK_TARGETING_PLUS_DECOY,combined,SEQUENTIAL_SIGNAL_BASELINE,Frontier weak targeting combined with decoy signal manipulation.,true,0.3,0.15,true,1.25,2.0,premium,none|basic,false,0.0,true,decoy,2,5,premium
